element_sig_pattern,tag_name,vr,private_disposition
"(0008,1084)[<0>](312f,""Ramsoft Diagnosis Datetime Identifier"",10)",Admitting Diagnoses Code Sequence:Unknown,DA,d
"(0008,1084)[<0>](312f,Ramsoft Diagnosis Datetime Identifier"",20)",Admitting Diagnoses Code Sequence:Unknown,TM,d
"(0008,1084)[<0>](3131,Ramsoft Diagnosis Modified Datetime Identifier"",10)",Admitting Diagnoses Code Sequence:Unknown,DA,d
"(0008,1084)[<0>](3131,Ramsoft Diagnosis Modified Datetime Identifier"",20)",Admitting Diagnoses Code Sequence:Unknown,TM,d
"(0008,1084)[<0>](3133,Ramsoft Diagnosis Status"",10)",Admitting Diagnoses Code Sequence:Unknown,IS,d
"(0008,1110)[<0>](2001,Philips Imaging DD 001"",c1)",Referenced Study Sequence:Linear Modality GL Transform,LO,k
"(0008,1111)[<0>](2001,Philips Imaging DD 001"",c1)",Referenced Performed Procedure Step Sequence:Linear Modality GL Transform,LO,k
"(0008,1111)[<0>](2005,Philips MR Imaging DD 005"",04)",Referenced Performed Procedure Step Sequence:Unknown,SS,d
"(0008,1111)[<0>](2005,Philips MR Imaging DD 005"",04)",Referenced Performed Procedure Step Sequence:Unknown,UN,d
"(0008,1111)[<0>](2005,Philips MR Imaging DD 005"",06)",Referenced Performed Procedure Step Sequence:Number of PS Specific Character Sets,OB,k
"(0008,1111)[<0>](2005,Philips MR Imaging DD 005"",06)",Referenced Performed Procedure Step Sequence:Number of PS Specific Character Sets,SS,k
"(0008,1115)[<0>](0008,1140)[<1>](0009,GEIIS_RA1000"",01)",Referenced Series Sequence:Referenced Image Sequence:Unknown,CS,k
"(0008,1115)[<0>](0008,1140)[<1>](2001,Philips Imaging DD 001"",c1)",Referenced Series Sequence:Referenced Image Sequence:Linear Modality GL Transform,LO,d
"(0008,1115)[<0>](2001,Philips Imaging DD 001"",c1)",Referenced Series Sequence:Linear Modality GL Transform,LO,d
"(0009,,02)",Unknown,UN,d
"(0009,,04)",Unknown,UN,d
"(0009,,27)",Unknown,UN,d
"(0009,,30)",Unknown,UN,d
"(0009,,31)",Unknown,UN,d
"(0009,CTP"",02)",Unknown,UN,d
"(0009,CTP"",04)",Unknown,UN,d
"(0009,CTP"",06)",Unknown,UN,d
"(0009,CTP"",08)",Unknown,UN,d
"(0009,,e3)",Unknown,UN,d
"(0009,,e7)",Unknown,UN,d
"(0009,,e9)",Unknown,UN,d
"(0009,EMAGEON JPEG2K INFO"",00)",Unknown,SQ,d
"(0009,EMAGEON JPEG2K INFO"",00)",Unknown,UN,d
"(0009,EMAGEON JPEG2K INFO"",00)[<0>](0023,""IMPLEMENTOR_ID00232013"",13)",Unknown:Unknown,IS,d
"(0009,EMAGEON JPEG2K INFO"",00)[<0>](0023,""IMPLEMENTOR_ID00232013"",15)",Unknown:Unknown,SQ,d
"(0009,EMAGEON JPEG2K INFO"",00)[<0>](0023,""IMPLEMENTOR_ID00232013"",15)[<1>](0023,""IMPLEMENTOR_ID00232016"",16)",Unknown:Unknown:Unknown,IS,d
"(0009,EMAGEON JPEG2K INFO"",00)[<0>](0023,""IMPLEMENTOR_ID00232013"",15)[<1>](0023,""IMPLEMENTOR_ID00232016"",17)",Unknown:Unknown:Unknown,FL,d
"(0009,EMAGEON JPEG2K INFO"",00)[<0>](0023,""IMPLEMENTOR_ID00232013"",15)[<1>](0023,""IMPLEMENTOR_ID00232016"",18)",Unknown:Unknown:Unknown,FL,d
"(0009,EMAGEON JPEG2K INFO"",00)[<0>](0023,""IMPLEMENTOR_ID00232013"",15)[<1>](0023,""IMPLEMENTOR_ID00232016"",19)",Unknown:Unknown:Unknown,IS,d
"(0009,EMAGEON JPEG2K INFO"",00)[<0>](0023,""Unnamed Private Block - 20"",13)",Unknown:Unknown,IS,d
"(0009,EMAGEON JPEG2K INFO"",00)[<0>](0023,""Unnamed Private Block - 20"",13)",Unknown:Unknown,UN,d
"(0009,EMAGEON JPEG2K INFO"",00)[<0>](0023,""Unnamed Private Block - 20"",15)",Unknown:Unknown,SQ,na
"(0009,EMAGEON JPEG2K INFO"",00)[<0>](0023,""Unnamed Private Block - 20"",15)[<1>](0023,""Unnamed Private Block - 20"",16)",Unknown:Unknown:Unknown,IS,d
"(0009,EMAGEON JPEG2K INFO"",00)[<0>](0023,""Unnamed Private Block - 20"",15)[<1>](0023,""Unnamed Private Block - 20"",16)",Unknown:Unknown:Unknown,UN,d
"(0009,EMAGEON JPEG2K INFO"",00)[<0>](0023,""Unnamed Private Block - 20"",15)[<1>](0023,""Unnamed Private Block - 20"",17)",Unknown:Unknown:Unknown,FL,d
"(0009,EMAGEON JPEG2K INFO"",00)[<0>](0023,""Unnamed Private Block - 20"",15)[<1>](0023,""Unnamed Private Block - 20"",17)",Unknown:Unknown:Unknown,UN,d
"(0009,EMAGEON JPEG2K INFO"",00)[<0>](0023,""Unnamed Private Block - 20"",15)[<1>](0023,""Unnamed Private Block - 20"",18)",Unknown:Unknown:Unknown,FL,d
"(0009,EMAGEON JPEG2K INFO"",00)[<0>](0023,""Unnamed Private Block - 20"",15)[<1>](0023,""Unnamed Private Block - 20"",18)",Unknown:Unknown:Unknown,UN,d
